sentence_id,translation_tmg,relevant_sentences,translation_en,domain,sentence_length,sentence_type,Tense,polarity
P2_D1A_S0_B2_2382,"थेसे थेरिन उत्पादन आताबा सा पोन सादा फेल्गेबा लाउ बिस्युजि, होछेम थे पोन ब्लेनरि सर्चुराङ्बा नकादे तेन्तो सुबारि  सुझाब नोन ताजि। ","उहाँले त्यही उत्पादन नहुने जमिन बाँझो जमिनलाई विकास गर्न भन्नुभयो, अनि त्यो बाँझो पाखामा अम्रिसोलगायत नगदेबाली लगाउन सुझाउनु पनि भयो।","He suggested developing the barren land, which was unproductive, and also suggested planting cash crops, including broom grass, on that barren land.",D1A,20,long,Past,Affirmative
COM_D2H_S1_S2_2276,ब्लोनखाङसे अस्पतालदा बजेट आपुइबा ङ्यान्दि ग्लुबा गेरिम ङाच्छा बढ्ह्राङ्बाबा गुरुङला पाङ्बा मुला।,मन्त्रालयले अस्पताललाई बजेट नपठाएका कारण खरिद प्रक्रिया अगाडि नबढेको गुरुङको भनाइ छ।,Gurung says that the procurement process has not progressed because the ministry has not sent the budget to the hospital.,D2H,12,medium,Non-Past,Affirmative
D4S_S1_883,बेनानदा उधारोरि सामान चुङ्तोमुला।,सबैलाई उधारोमा सामान बेच्नुपर्छ।,Everyone should sell goods on credit.,D4C,4,short,Non-Past,Affirmative
COM_P3_D3E_S1_12808,थेनोन मिनकादेग्याम कुलपति नियुक्त ताला।,तिनै नामहरूबाट कुलपति नियुक्त हुन्छ।,The Chancellor is appointed from those names.,D3E,5,short,Non-Past,Affirmative
D1A_S0_B1_1992,वैदेशिक रोजगारीरि ङादिङ चिबा विनोद पौडेलसे स्यामोला सास्हिङरि सिक डि गिक लगानी लाबा मुला।,वैदेशिक रोजगारीमा पाँच वर्ष बिताएका विनोद पौडेलले च्याउ खेतीमा रु एक करोड लगानी गरेका छन्।,"Binod Poudel, who spent five years in foreign employment, has invested Rs one crore in mushroom farming.",D1A,15,medium,Non-Past,Affirmative
COM_D3E_S4_3380,झान्नाइ ८ दिङलिच्छा फिच्चा रे माइक्रोसफ्ट अमेरिकाला मोकोनबिमा साइला कम्पनी दोबारि स्हाङ्बा ताबा हिन्ना।,झण्डै ८ वर्षपछि उक्त दिन माइक्रोसफ्ट अमेरिकाको सबैभन्दा मूल्यवान कम्पनी बन्न सफल भएको हो।,"Almost 8 years later, on that day, Microsoft became the most valuable company in America.",D3E,14,medium,Non-Past,Affirmative
COM_D2H_S1_S2_3692,स्ह्योरि  रेसि मोजे चामा चुसे ल्हुइला नाल्बा गेरिम न्होङ्खाम्बा खतरा तामुला।,बिहान उठेर केरा खाँदा यसले शरीरको पाचनप्रक्रिया बिग्रने खतरा हुन्छ।,Eating a banana first thing in the morning can disrupt the body's digestive process.,D2H,10,medium,Non-Past,Affirmative
COM_D5G_S3_2874,योना टाङ्गाला बन्दोबस्त लाउ डाक्टर थेदा बोर्सि न्हाङरि वाङ्मुला।,चाँडो पैसाको बन्दोबस्त गर्नु डाक्टर उसलाई लिएर भित्र पस्छ।,The doctor takes him inside to arrange the money quickly.,D5G,9,medium,Non-Past,Affirmative
P4_D1A_S1_B1_2688,इन्धनला साइ निर्णायक स्रुगरि ल्हेःबा ताबासे ज्याबा तोसोसे बु मोइबा खाम्बा आरेबा सानाम्पाजुगुसे पाङ्बा मुला।,ईन्धनको मुल्य निरन्तर बृद्धी भई रहेकोले राम्रो तरिकाले खेत जोतन सकेको छैन कृषकहरूले बताएका छन।,Farmers have said that they have not been able to cultivate their fields properly due to the continuous increase in fuel prices.,D1A,15,medium,Non-Past,Negative
D4S_S2_7315,इलामला माइजोगमाई गाउँपालिका वडा नम्बर ६ प्याङरि मुबा प्याङ्ग माविदा समाजसेवी सादातासे सा ह्योन लास्ह्युबा आरे।,इलामको माईजोगमाई गाउँपालिका वडा नम्बर ६ प्याङ्गमा रहेको प्याङ्ग माविलाई समाजसेवी जग्गादाताले जग्गा दान गर्नुभएको छैन।,"The social worker land donor has not donated land to Pyang Secondary School located in Ward No. 6 Pyang, Maijogmai Rural Municipality, Ilam.",D4C,16,long,Non-Past,Negative
D4S_S3_674,ह्राङजुगु डिक्सि जोम्नाछेनरि वाङ्स्ह्युगो।,तपाईँँहरू मिलेर अधिवेशनमा लाग्नुस्।,Let's go to the convention together.,D4C,4,short,Non-Past,Affirmative
COM_D3E_S3_4586,ङा मिनेट गिकरि ६५ छिक टाइप लामुबा तासाइ ङादा नोन था आतामुबा कि ङाइ तिगा टाइप लाचिबा मुला।,म एक मिनेटमा ६५ शब्द टाइप गर्थेँ तर मलाई नै थाहा हुँदैनथ्यो कि मैले के टाइप गरिरहेको छु।,"I was typing 65 words a minute, but I didn't even know what I was typing.",D3E,18,long,Non-Past,Affirmative
COM_P2_D5G_S1_3864,दर्शकदा ङाच्छा साक्षी थान्सि ओन्छाङ रापबिबा ग्युङ हिन्ना चेमा।,दर्शकलाई अगाडि साक्षी राखेर प्रत्यक्ष कथा भन्ने माध्यम हो नाटक।,"Drama is a means of telling a story directly, with the audience as witnesses.",D5G,10,medium,Unknown,Unknown
COM_D5G_S7_1940,ह्राङ आपा आमाला प्रेरणा थेन आर्थिकछ्यामसे ङ्हाच्छा दान्बा थेला कथन मुला।,आफु बुबा आमाको प्रेरणा र आर्थिक साथले अघि बढेको उनको कथन छ।,He says that he moved forward with the inspiration and financial support of his parents.,D5G,12,medium,Non-Past,Affirmative
P3_D5G_S1_B2_241,भौतिक सम्पत्ति बाहेक तिलाइ आरेना दुखी मुला।,भौतिक सम्पत्ति बाहेक केही नभएर दुखी छन्।,They are unhappy because they have nothing but material possessions.,D5G,7,short,Non-Past,Affirmative
COM_P3_D3E_S1_12734,तासाइ डिछ्याबा दाछोकसे लोप्बोन लुइटेलदा हाजिर लापुङ्बारि  आङ्यान्बा लिच्छा अन्योलता ल्हेःसि निबा हिन्ना ।,तर व्यवस्थापन समितिले शिक्षिका लुइटेललाई हाजिर गराउन नमाने पछि अन्यौलता बढेर गएको हो।,But the confusion increased after the management committee refused to allow Teacher Luitel to appear.,D3E,13,medium,Non-Past,Affirmative
D4S_S3_1616,खास लासि ज्याबा गेरि पान अनिवार्य तामुला।,खास गरी शुभ काममा पान अनिवार्य हुन्छ।,Drinking paan is especially essential for auspicious tasks.,D4C,7,short,Non-Past,Affirmative
COM_D3E_S5_122,चुला परिक्षण सोम्छा छ्यारिदोःना ताबा मुबा।,यसको परीक्षण तेस्रो चरणसम्म भएको थियो।,Its testing was carried out up to the third stage.,D3E,6,short,Past,Affirmative
COM_D5G_S3_4401,"दान्दे महङ्गी ल्हेबा, भ्रष्टाचारी झाननोन सलबलब ताबा थेन काक्ताकादेला भुमरीरि प्राङ्बो, निमुखा थेन सर्वहारा ताबान निबासे चु थुम्तोबा नुररि बाङ पिन्बा मुला।","अहिले महङ्गी बढेको, भ्रष्टाचारी झनै सलबलाएका र समस्याहरूको भुमरीमा गरीब, निमुखा र सर्वहारा पर्दै गएकाले यसको अन्त्य हुनु पर्ने विषयमा जोड दिएका छन्।","They have emphasized the need to end this as prices have increased, corruption has become more rampant, and the poor, the destitute, and the proletariat are increasingly caught in the vortex of problems.",D5G,23,very long,Non-Past,Affirmative
P4_D1A_S1_B2_2305,ङाच्छाङ्हाच्छा किलो ङादोःनाला काउली उत्पादन ताबा थेला म्राङरि तिनिनाङ्गार ओत्ते काउली रोबा आरे।,पहिले–पहिले पाँच किलोसम्मको काउली उत्पादन हुने उनको बारीमा आजभोलि त्यत्रो काउली फल्दैन।,"His garden, which used to produce up to five kilos of cauliflower, doesn't produce that much cauliflower these days.",D1A,12,medium,Non-Past,Negative
COM_D2H_S1_S2_4238,खड्कासे अस्पतालदा च्याङ्नारि ला सोम-सोमरि ह्राङसे बिजा गेला पारदर्शी स्रुगरि सार्ल्हिनिक लाबारि मोइजेन लाजि।,खड्काले अस्पताललाई कम्तीमा तीन–तीन महिनामा आफूले गरेका कामको पारदर्शी रूपमा सार्वजनिक गर्न आग्रह गरिन्।,Khadka urged the hospital to transparently publicize the work it has done in at least three months.,D2H,14,medium,Non-Past,Affirmative
COM_P2_D2H_S2_6778,"चुरि उच्च सजगता आप्नाबलाबान हिन्ना, दात्ते नाछोतछ्यामला च्यालाङ्पाला साङ्ज्या ल्हेःबान मुला।","यहाँ उच्च सजगता अपनाइएकै हो, अहिले लक्षणसहितका सङ्क्रमितको सङ्ख्या बढ्दो छ।","High alert has been adopted here, and the number of infected people with symptoms is currently increasing.",D2H,11,medium,Non-Past,Affirmative
D4S_S3_4192,छ्याइ फाबा रे थे ह्राङदा जाम्बुलिङलान बेनानबिमा याङ्जा म्हि डान्मुबा।,ऋण तिरेको दिन उनी आफूलाई संसारकै सबैभन्दा हलुका मान्छे सम्झिन्थे।,"On the day he paid off his debt, he felt like the lightest person in the world.",D4C,10,medium,Past,Affirmative
COM_P2_D5G_S1_4715,साव्हाना च्यासि चिबा साने झसङ्ग ताजि थेन हिन्ना ज्योज्यो बिबा छिक याइजि।,भुईंतिर हेरेर बसेको साने झसङ्ग भयो र हो दाजु भन्ने शब्द फर्कायो।,"The little boy, who was sitting looking at the ground, was startled and said, ""Yes, brother.""",D5G,12,medium,Past,Affirmative
COM_D3E_S3_2870,२५ दिङला छारिब्योन जमातसे सामाजिक सञ्जालग्याम सामाजिक अभियान छेक्तिबा खाम्ला बिसाम लोप्खेन सङ्गठनसे तिल्दा आखाम्सेला ?,२५ वर्षका युवा जमातले सामाजिक सञ्जालमार्फत समाजिक अभियान छेड्न सक्छ भने विद्यार्थी सङ्गठनले किन नसक्ने?,"If a group of 25-year-old youth can launch a social campaign through social media, why can't a student organization?",D3E,15,medium,Non-Past,Affirmative
P3_D1A_S0_B2_3186,"उद्योग, सानाम्पा थेन सरकार गिक स्यान्दोला परिपुरक ताबासे सानाम्पाला काक्ताला सवालरि राङ गम्भीर मुबा  धमलाला पाङ्बा मुबा। ","उद्योग, किसान र सरकार एक अर्काको परिपुरक भएकाले किसानको समस्याको सवालमा आफू गम्भीर रहेको धमलाको भनाई थियो।","Dhamala said that he is serious about the problems of farmers as industry, farmers, and the government complement each other.",D1A,17,long,Past,Affirmative
P3_D1A_S0_B1_3252,चुसे सानाम्पादा जेक्खे आताना भू–ख्युर्छ्या थेन वातावरणला थुमरि सुत्ताइ ह्रो लाबासे थे पोवा ठाबान खाबा मुला।,यसले किसानलाई मात्र नभएर भू–संरक्षण र वातावरणको क्षेत्रमा समेत सहयोग गर्ने भएकाले सो विरुवा वितरण गरिँदै आइएको छ।,The plants are being distributed because they not only help farmers but also help in the areas of soil conservation and the environment.,D1A,18,long,Non-Past,Affirmative
D1A_S0_B1_3049,थेसे १५ सेन्टिमिटर बिमा नुप्पा थोरि सार युदोबा लोप्चि।,उनले १५ सेन्टिमिटरभन्दा माथि गहिराइमा मल हाल्नु पर्ने सिकाए।,He taught that fertilizer should be applied to a depth of no more than 15 centimeters.,D1A,9,medium,Past,Affirmative
COM_D5G_S3_1670,ब्रिटिस गोर्खा सैनिकला स्रुगरि फौजी केवानाङ हङकङरि नेपाली चिबारि म्याङ्मुबा।,ब्रिटिस गोर्खा सैनिकका रूपमा फौजी जीवनभरि हङकङमा नेपाली बस्न पाउँथे।,"As British Gurkha soldiers, Nepalis were allowed to live in Hong Kong throughout their military service.",D5G,10,medium,Past,Affirmative
D1A_S0_B2_1397,कादेराङ सङ्क्रामक नोइ सेमचेन ओसेम स्याजन्य परिकारग्याम नोन म्हिरि पोबा याङ्मुला।,कतिपय सङ्क्रामक रोग जनवार एवं मासुजन्य परिकारबाट नै मान्छेमा सरेको पाइन्छ।,Some infectious diseases are found to be transmitted to humans from animals and meat-based foods.,D1A,11,medium,Non-Past,Affirmative
D1A_S0_B1_4037,स्यार–न्हुप राजमार्गला कञ्चनपुरला झलारी–बाणी बोला वनहरा गान्दिला ठेरारि थेसे ङ्हाउ ङादिङहेन्से ठेरासास्हिङ लाबान खाबा मुला।,पूर्व–पश्चिम राजमार्गको कञ्चनपुरको झलारी–बाणी खण्डको वनहरा नदीको बगरमा उहाँले विगत पाँच वर्षदेखि बगरखेती गर्दै आउनुभएको छ।,He has been cultivating kelp for the past five years in the kelp of the Banhara River in the Jhalari-Bani section of Kanchanpur on the East-West Highway.,D1A,16,long,Non-Past,Affirmative
COM_P2_D3E_S1_368,तिलाइ रे ङाच्छा लोप्खेनजुगु स्ह्युसेन बासि खाबा मुबा।,केही दिन अघि विद्यार्थीहरू निवेदन लिएर आएका थिए।,"A few days ago, the students came with a petition.",D3E,8,medium,Past,Affirmative
COM_P2_D2H_S4_3210,क्सिजन प्लान्ट स्हेङ्बालिच्छा रेदाङ्से १७७ ग्रेन सिलिण्डर प्लिङ्बारि खाम्सेला  थेसे पाङ्बा मुला।,अक्सिजन प्लान्ट निर्माण भएपछि दैनिक १७७ ठूला सिलिण्डर भर्न सकिने उहाँको भनाइ छ।,"He says that once the oxygen plant is built, 177 large cylinders can be filled daily.",D2H,13,medium,Non-Past,Affirmative
COM_D5G_S4_2777,गेदिमरि ङ्योइसि थेला स्टाफकादेला ङाच्छा ङादा बाङ्बारि खाम्बा पारछालरि नोन थे आरेबा।,अफिसमा बोलाएर उसका स्टाफहरूको अगाडि मलाई गाली गर्न सक्ने स्थितिमा पनि ऊ थिएन।,He wasn't even in a position to call me into the office and abuse me in front of his staff.,D5G,13,medium,Past,Negative
P3_D1A_S0_B3_1453,नेपालरि खाद्यान्नला आडुप आताना म्हि प्राङ्ना तासाइ ले फ्राक खालला ताबा काक्ता खाबासे नेपालीसे छ्याब थिग्युन लातोबा थेसे पाङ्स्ह्युजि।,नेपालमा खाद्यान्नको अभाव नभई मान्छे गरीब तर जिब्रो बेग्लै खालको हुँदा समस्या आएकाले नेपालीले बानी सुधार गर्नुपर्ने उहाँले बताउनुभयो।,"He said that Nepali people need to improve their habits because there is no shortage of food in Nepal, but the people are poor, but the language is different.",D1A,19,long,Past,Affirmative
D1A_S0_B2_4763,घोराही उपमहानगरपालिका वडा नम्बर ८ थेन १० ला स्यानीनाम्सारि नाबिङरे गिक गेताङ स्हेङ्सि गे चुःबाला हिन्ना।,घोराही उपमहानगरपालिका वडा नम्बर ८ र १० को स्यानीगाउँमा बुधबार एक कार्यक्रमको आयोजना गरि कार्य प्रारम्भ गरिएको हो।,"The work was initiated by organizing a program on Wednesday in Syanigaun, Wards 8 and 10 of Ghorahi Sub-metropolitan City.",D1A,18,long,Non-Past,Affirmative
COM_D2H_S5_2025,जाम्बुलिङनाङ निमोनियाला ङ्यान्दि ३९ सेकेन्डरि गोरगिक कोलाला ल्हुइ निमुला।,विश्वभर निमोनियाका कारण प्रत्येक ३९ सेकेन्डमा एक बच्चाको ज्यान जान्छ।,A child dies every 39 seconds from pneumonia worldwide.,D2H,10,medium,Non-Past,Affirmative
P4_D1A_S1_B1_4530,"या ट्र्याक्टरसे मोइमा तोरमार जेक्खे छ्योङ्बा चिम, नुप्पा आमोइमा सोवाङरि काक्ता ताजि, ग्वा थेन माकाइ ताइबा काक्ता म्राङ्जि।","हाते ट्र्याक्टरले जोत्दा माथिमाथि मात्रै जोत्दो रहेछ, गहिरो नजोत्दा उत्पादनमा समस्या भयो, गहुँ र मकै ढल्ने समस्या देखियो।","When plowing with a hand tractor, it only plowed upwards, and if it did not plow deeply, it caused problems in production, and wheat and corn fell.",D1A,18,long,Past,Affirmative
COM_D3E_S4_4880,छारिब्योनदा ह्राङह्युलरिन काबारि ग्युइसेरकि गेताङजुगुदा दुइरिन परिमार्जन थेन पोतोःबा  मुला।,युवालाई स्वदेशमै रोक्न शैक्षिक कार्यक्रमहरूलाई समयानुकूल परिमार्जन र परिवर्तन गर्नु आवश्यक रहेको छ।,It is necessary to timely modify and change educational programs to keep youth at home.,D3E,13,medium,Non-Past,Affirmative
COM_P2_D5G_S3_9203,"ङा चुरि जे नाेन पाङ्बान मुला, ङ्यान्सिजिन्बालिच्छा लिच्छारि ह्राङनिकादेदा चु म्हिसे तिगा पाङ्जि मि ताबारिनाेन म्हान्बारि खाम्ला।","म यहाँ जे पनि भनिरहेको छु, सुनिसकेपछि अन्तिममा तपाईँहरूलाई यो मान्छेले के भन्यो त खै जस्तो पनि लाग्न सक्छ।","Whatever I'm saying here, after listening to it, you might end up wondering what this person said.",D5G,19,long,Non-Past,Affirmative
D1A_S0_B1_899,नारे ङ्यासे कलंकीला खु बजाररि ग्राहकला घुइँचो मुबा।,बिहीबार साँझ कलङ्कीको तरकारी बजारमा ग्राहकको घुइँचो थियो।,The vegetable market in Kalanki was bustling with customers on Thursday evening.,D1A,8,medium,Past,Affirmative
COM_D3E_S3_1013,समयौनिक ब्रेल खाराङलासि थान्बा नोन मि लोप्पा मुताला ?,समयौनिक सम्बन्ध कसरी राख्ने पनि त सिकाउने होला?,Maybe you can also teach how to maintain a timely relationship?,D3E,8,medium,Non-Past,Affirmative
COM_P3_D3E_S1_6873,गैरसरकारी विश्वविद्यालय बिबा मि पेबा ताम हिन्ना।,गैरसरकारी विश्वविद्यालय भन्नु त लाजमर्दो कुरा हो।,It's embarrassing to call it a non-government university.,D3E,7,short,Non-Past,Affirmative
COM_D3E_S3_2402,क्योङरि चुराङ्बा अनुमति किन्बा लोप्खेन साङ्ज्या दिङदाङ्से तोङ्जा २ ला छादसे ल्हेःचिबा मुला।,समग्रमा यस्तो अनुमति लिने विद्यार्थी सङ्ख्या बर्सेनि २ हजारको दरले बढिरहेको छ।,"Overall, the number of students seeking such permission is increasing by 2 thousand each year.",D3E,12,medium,Non-Past,Affirmative
COM_P2_D5G_S1_1704,आपासे जाजारि साङ्गुल खामा सा ह्येङमुला सुङ्बा मुबा।,बुबाले सानोमा भूकम्प आउँदा जमिन हल्लिन्छ भन्नुभएको थियो।,My father used to tell me when I was little that the ground shakes when there is an earthquake.,D5G,8,medium,Past,Affirmative
D4S_S1_144,पीडित बुमोदा बलात्कारलिच्छा छारिब्योनकादेसे बुरिन ख्लासि ह्यार्बा मुबा।,पीडित बालिकालाई बलात्कारपछि युवाहरूले खेतमै छाडेर भागेका थिए।,"After raping the victim, the youths left her in the field and fled.",D4C,8,medium,Past,Affirmative
COM_D3E_S4_3630,चु मिसनतेन थुइबा म्होकोन व्यक्ति गिक्खेन नाछालरि मुबा।,यो मिसनसँग जोडिएका हरेक व्यक्ति एक अलग अवस्थामा थिए।,Every person connected to this mission was in a different situation.,D3E,9,medium,Past,Affirmative
P2_D1A_S0_B1_1871,पोन थान्बा बिमा म्हेसे मोइसिन तासाइनोन सास्हिङ लागे बिसि तासिचिबा मुला।,बाँझो राख्नुभन्दा गोरुले जोतेरै भए पनि खेती गरौँ भनेर लागिरहेको छु।,"I am trying to cultivate the land, even if it is with oxen, rather than leaving it barren.",D1A,11,medium,Non-Past,Affirmative
COM_P2_D5G_S3_6290,"ठिमसे पाङ्बालिच्छा जिन्जि तिका, चरि खालाइसे पाङ्बारि जरुरत आरे।","कानुनले बोलिसकेपछि सकियो के, यहाँ कसैले बोल्न जरुरत छैन।","After the law has spoken, is it over? No one needs to speak here.",D5G,9,medium,Non-Past,Negative
COM_D2H_S4_4680,छेप्पा थेन वर्षातला दुइरि ल्हाना म्राङ्बानोन हाल नाबाला साङ्ज्या घट्दिबा जोङ अस्पताल बैतडीला ग्रेन डा. दीपेश श्रेष्ठसे ग्रानाङ पिन्जि।,गर्मी र वर्षातको समयमा बढी देखिए पनि हाल बिरामीको सङ्ख्या घटेको जिल्ला अस्पताल बैतडीका प्रमुख डा. दीपेश श्रेष्ठले जानकारी दिए।,"Although it is more common during the summer and rainy seasons, the number of patients has decreased recently, said Dr. Dipesh Shrestha, Chief of District Hospital Baitadi.",D2H,20,long,Past,Affirmative
D1A_S0_B2_4663,सानाम्पा ङोसेबा लासि योजना स्होबा थेन  साप्तो पारदर्शिता ल्हेनालाबरि  सोमनोन तादाला साझेदारीरि गे ताबान मुबा थेसे पाङ्जि।,किसान पहिचान गरी योजना बनाउने र सेवा पारदर्शिता बढाउन तीनै तहको साझेदारीमा काम भइरहेको उनले बताए।,He said that work is being done in partnership at all three levels to identify farmers and formulate plans and increase service transparency.,D1A,16,long,Past,Affirmative
COM_D4C_S1_S2_3081,ओहोरदोहोर लाबा थेनि ह्युलकोरपागुङरि ल्होलो ह्युलला तोङ्जा न्हि ग्यार्जा ३४० म्रिङ्कोला मुबा।,ओहोरदोहोर गर्ने ती पर्यटकमध्ये विभिन्न देशका दुई हजार ३४० महिला रहेका थिए।,"Among the tourists who were traveling, there were 2,340 women from various countries.",D4C,12,medium,Past,Affirmative
COM_D4C_S1_S2_819,महेन्द्रनगररि मुबा शुक्लाफाँटा ह्युल्साङ निकुञ्जसे ह्युलकोर्पाका लागिरि शुक्लाफाँटारि ह्रि सफारी खुला लाबा मुला।,महेन्द्रनगरमा रहेको शुक्लाफाँटा राष्ट्रिय निकुञ्जले पर्यटकका लागि शुक्लाफाँटामा जङ्गल सफारी खुला गरेको छ।,Shuklaphanta National Park in Mahendranagar has opened a jungle safari in Shuklaphanta for tourists.,D4C,13,medium,Non-Past,Affirmative
D1A_S0_B2_726,बोरा गिकरि ६० हेन्से ६५ किलो दोःना ताबा थेसे थाइनालाजि।,एक बोरामा ६० देखि ६५ किलोसम्म हुने उनी सुनाउँछन्।,He says that one sack contains 60 to 65 kg.,D1A,9,medium,Non-Past,Affirmative
COM_D3E_S1_S2_2024,"चुत्ते जेन आहिन, लोप्खाङ नेपालरिन प्रख्यात सामुदायिक लोप्खाङला स्रुगरि सेसिजिन्बा मुला।","यति मात्रै होइन, विद्यालय नेपालमै प्रख्यात सामुदायिक विद्यालयको रूपमा चिनिसकेको छ।","Not only this, the school is already known as a famous community school in Nepal.",D3E,11,medium,Non-Past,Affirmative
D1A_S0_B1_783,मेघौलीरि मुबा होमस्टे स्याङ्पा दिमरिन हान्सा किन्बारि खामुबा।,मेघौलीमा भएका होमस्टे सञ्चालक घरमै हाँस लिन आउँछन्।,Homestay owners in Meghauli come to their homes to have a laugh.,D1A,8,medium,Non-Past,Affirmative
COM_D4C_S1_S2_7176,"कालोपत्र ग्यामला पृष्ठभूमिरि ज्योमोगाङ, ल्हा थृ गाङ भूगोलला दृश्यावलोकन, तस्बिर, भिडियो खिच्दिबाकादेला चहलपहल ल्हेःबागेन निबा संरक्षण थुम फेल्गेबा दाछोक लेतेला गउराइ प्रमिश गौचनसे पाङ्जि।","कालोपत्र सडकको पृष्ठभूमिमा हिमाल, जङ्गल र पहाडी भूगोलको दृश्यावलोकन, तस्बिर, भिडियो खिच्नेहरूको चहलपहल बढ्न थालेको संरक्षण क्षेत्र व्यवस्थापन समिति लेतेका सचिव प्रमिश गौचनले बताए।","Pramish Gauchan, secretary of the Conservation Area Management Committee, said that the number of people taking photos and videos of the mountains, forests, and hilly terrain against the backdrop of the blacktop road has started to increase.",D4C,24,very long,Past,Affirmative
D1A_S0_B2_2061,सानामब्लोन सिटौलासे निजी थुमसे सानामरि लाबा योगदानला प्रशंसा लाबा मुला।,कृषिमन्त्री सिटौलाले निजी क्षेत्रले कृषिमा गरेको योगदानको प्रशंसा गरेका थिए।,Agriculture Minister Sitaula praised the contribution made by the private sector in agriculture.,D1A,10,medium,Past,Affirmative
D1A_S0_B1_2099,च्याला साइ चुदे दुइरि सिका ब्रात मुताला तासाइ ङानि चुङ्बा गे आलामुबा।,"चियाका दाम त्यति बेला आठ रुपैयाँ थियो होला तर, हामी बेच्ने काम गर्दैनथ्यौँ।","The price of tea at that time was probably eight rupees, but we weren't selling it.",D1A,13,medium,Past,Affirmative
D4S_S3_5532,तिरेम म्राङ्बा खालाइदा गाङटारि दोबारि सेम तामुला।,एक पटक देख्ने जो कोहीलाई फेदमा पुग्न मन लाग्छ।,Anyone who sees it once will want to get to the bottom of it.,D4C,9,medium,Non-Past,Affirmative
COM_P2_D5G_S3_2367,तिलाइ ताम सोचाब लाबारि मि म्याङ्ला ताला नि ?,कुनैपनि कुरा सोच्न त पाइन्छ होला नी?,Is it possible to think about anything?,D5G,7,short,Unknown,Unknown
COM_D4C_S1_S2_2959,सन् २०११ रि चमेरे उःला प्रचारप्रसारला लागिरि बिबान स्थानीय बासिन्दासे ग्रेनकाप्तोन नोन स्हेङ्बाला मुबा।,सन् २०११ मा चमेरे गुफाको प्रचारप्रसारका लागि भन्दै स्थानीय बासिन्दाले महोत्सवको पनि आयोजना गरेका थिए।,"In 2011, local residents also organized a festival to promote Chamere Cave.",D4C,15,medium,Past,Affirmative
COM_P2_D5G_S1_5273,प्रतिष्ठानला च्युइसे गिक दिङसाङ गोर सोम ग्योइकाइ प्रतिभादा डेन लाबा मुला।,प्रतिष्ठानको एघारौं वार्षिकोत्सव तीन साहित्य प्रतिभालाई सम्मान गरिएको छ।,Three literary talents have been honored on the foundation's eleventh anniversary.,D5G,9,medium,Non-Past,Affirmative
COM_P2_D3E_S3_4782,छ्योइ थेन कम्प्युटर बार्बु ओसेम थ्री डाइमेन्सनला ह्रोछ्यासे लोप्खेनदा खाचिबाइ नोन च्याप्टरतेन कनेक्ट लाबारि खाम्ला।,पुस्तक र कम्प्युटर सामग्री तथा थ्री डाइमेन्सनको सहयोगले विद्यार्थीलाई कुनै पनि च्याप्टरसँग कनेक्ट गर्न सकिन्छ।,"With the help of books, computer materials, and 3D, students can be connected to any chapter.",D3E,15,medium,Non-Past,Affirmative
P3_D1A_S0_B2_21,तिलाइ दोङदा गोर गिक न्हि टेका पिन्बा मुला।,केही बोटलाई एक दुई वटा टेका दिइएको छ।,Some plants have been given one or two supports.,D1A,8,medium,Non-Past,Affirmative
COM_D2H_S3_1989,जोङ प्रशासनसे मास्क आक्वान्बादा दारेम सिका १०० जरिवाना फाबा आप्ता लाबा मुला।,जिल्ला प्रशासनले मास्क नलगाउनेलाई अब १०० रूपैयाँ जरिबाना तिराउने निर्णय गरेको छ।,The district administration has now decided to impose a fine of Rs 100 on those who do not wear masks.,D2H,12,medium,Non-Past,Affirmative
COM_D5G_S3_1314,चु ङ्योइबाला निसाल स्यान्दो पानारि मुला।,यस प्रश्नको उत्तर अर्को पानामा छ।,The answer to this question is on the next page.,D5G,6,short,Non-Past,Affirmative
D1A_S0_B2_2612,"ग्रा ह्रुप्पा, काठुइ, स्याप्पा छ्यामला गेताङदा बाङ पिन्सि ह्रेङान लाबा परिणाम खाबा लासि तयारी लाबा थेला पाङ्बा मुला।","सूचना सङ्कलन, छलफल, भेटघाट लगायत कार्यक्रमलाई जोड दिई अपेक्षित परिणाम आउने गरी तयारी गरेको उनको भनाइ छ।","He said that preparations have been made to achieve the expected results by emphasizing information gathering, discussions, meetings and other programs.",D1A,17,long,Non-Past,Affirmative
COM_P3_D3E_S1_10729,दात्तेदोना ग्यार्जा ६ से १६ म्हे लोप्बोन कर्मचारीदा कोरोना च्यालाङ ताबा दाहालसे तेःबा विज्ञप्तिरि उन्ब्रिबा मुला।,अहिलेसम्म ६ सय १६ जना शिक्षक कर्मचारीलाई कोरोना सङ्क्रमण भएको दाहालले निकालेको विज्ञप्तिमा उल्लेख छ।,Dahal's statement states that 6 hundred 16 teachers and staff have been infected with the coronavirus so far.,D3E,15,medium,Non-Past,Affirmative
COM_P2_D3E_S2_5280,चु नुररि कुलपति ओसेम काइब्लोनसे जोम्नारि गेविधि पुनर्विचार लाबारि ध्यानाकर्षणसुत्ताइ लाबा मुबा।,यस विषयमा कुलपति तथा प्रधानमन्त्रीले सभामा कार्यविधि पुनर्विचार गर्न ध्यानाकर्षणसमेत गराएका थिए।,The Chancellor and the Prime Minister had also drawn attention to the matter and called for a reconsideration of the procedure in the assembly.,D3E,12,medium,Past,Affirmative
